,group,account,names,profession,Main_fight_dps,Dhuum_fight_dps,Ritual_dps
0,2,Tellix.3689,Mia Tavy,Druid,858.18,919.12,1994.72
1,2,Necrolia.6218,Necrolie,Chronomancer,1474.15,1718.13,1902.75
2,2,Amelia.2079,Aerith Calaera,Virtuoso,19324.23,22868.54,20577.53
3,2,DasBannane.6720,Lahyde,Virtuoso,24139.77,27898.95,33741.74
4,2,Speedy.5802,Cant Do Dps,Daredevil,20058.86,23640.71,22743.76
5,3,Raven.9085,Madora Fay,Tempest,2948.91,3417.85,4015.62
6,3,Not Diablo.2159,Dodgen Ist Dmg Loss,Holosmith,24310.01,28442.58,30185.45
7,3,Townuri.9530,Achaemenid Empire,Harbinger,17342.91,19779.4,26418.93
8,3,bullitt.3574,Bullitts N Bombs,Mechanist,21953.2,25983.2,23998.54
9,3,Anderson.9172,Kimara Riftstride,Herald,8588.38,9666.54,14840.51
